المساحة_متر_مربع,عدد_الغرف,عمر_المنزل_سنة,الطابق,المسافة_من_المترو_كم,يوجد_جراج,يوجد_حديقة,تقييم_الحي,عدد_الحمامات,تم_التجديد,السعر_جنيه
174.83570765056163,4,16.0,2,2.5340039438375395,1,0,8.0,3,0,1569784
143.08678494144075,1,5.0,6,2.326996115999206,1,0,3.0,2,0,1216747
182.38442690503462,3,3.0,11,2.8121113533088824,1,1,3.0,3,0,1612739
226.15149282040127,5,19.0,2,4.162575141425078,1,0,1.0,1,1,1840145
138.2923312638332,3,26.0,13,3.1761913862970506,0,0,3.0,1,0,1126035
138.29315215254098,3,14.0,10,2.465886888309054,0,0,1.0,1,0,1116627
228.96064077536957,6,,5,4.796937585234618,1,1,8.0,3,0,2064559
188.37173645764545,1,13.0,14,3.6648943938205036,1,1,1.0,1,0,1569423
126.5262807032524,6,10.0,5,1.8614023420949775,1,1,5.0,2,1,1210120
177.12800217929822,1,38.0,6,0.1743193964706422,1,0,9.0,3,0,1497253
126.82911535937689,1,,6,0.5182539786193017,0,0,7.0,3,1,1155977
126.71351232148716,2,25.0,14,3.399848672473451,0,0,4.0,1,1,1059871
162.0981135783017,4,15.0,6,1.054531281120528,1,1,9.0,1,0,1499146
54.33598776711011,2,4.0,14,0.48791678433207775,0,0,9.0,2,1,642965
63.75410837434836,4,9.0,2,0.8628720099692007,0,0,2.0,3,1,611532
121.88562353795136,6,2.0,14,0.96892353186395,0,1,10.0,1,1,1286300
99.35844398327882,4,12.0,10,3.2759715016733764,1,1,10.0,2,0,1017700
165.7123666297637,6,29.0,14,1.7648868863265859,0,0,6.0,1,0,1452683
104.59879622393944,3,5.0,13,0.1,1,0,4.0,3,0,1006925
79.38481493323543,3,16.0,14,2.0465673466435352,1,0,8.0,1,1,812822
223.28243844607772,4,18.0,3,2.3333991986723626,1,1,7.0,3,0,1941248
138.7111849756732,4,34.0,14,1.2809947078387225,1,1,7.0,1,0,4288429
153.3764102343962,6,25.0,6,3.7338276262890497,1,0,10.0,3,0,1423647
78.76259068932715,2,4.0,13,1.368591671461573,1,0,9.0,2,0,826444
122.78086377374086,6,28.0,8,3.6625065299557256,1,1,5.0,3,0,1112316
155.5461294854933,2,36.0,12,2.8951741695124644,0,1,6.0,2,0,1258755
92.45032112888487,3,19.0,13,3.3899082620666108,0,0,1.0,3,0,799586
168.7849009172836,1,20.0,11,0.3521737387904076,1,0,6.0,2,1,1473714
,4,9.0,12,2.1474652883571537,0,0,2.0,1,0,1009030
135.41531251033615,2,4.0,1,1.9207579931378465,0,0,6.0,3,1,1216585
119.91466938853016,6,35.0,1,0.1,0,1,9.0,1,0,1079499
242.6139092254469,3,5.0,11,3.657591094704364,1,1,8.0,2,0,2124812
149.3251387631033,2,25.0,13,0.7738986546389752,0,1,9.0,3,1,1363935
97.11445355220499,6,3.0,2,1.0856482567460257,0,0,10.0,3,1,1024240
191.12724560515946,4,38.0,11,0.4800262466034111,0,1,8.0,1,0,1613068
88.95781750144889,4,38.0,12,3.05177948910556,1,0,3.0,3,1,805496
160.44317975023776,5,34.0,12,0.1,1,0,8.0,3,1,1425954
52.016493806011226,1,0.0,6,2.926812200696852,0,0,6.0,1,1,525690
,5,23.0,9,3.566770979365191,1,0,6.0,3,0,814768
159.84306179345617,3,35.0,4,2.8057676414386408,1,1,6.0,1,0,1348837
186.92332899977052,2,5.0,3,3.0689427257696433,1,0,3.0,1,1,1613236
158.56841405949854,3,30.0,12,3.139319704367064,0,0,10.0,1,1,1417864
144.21758588058796,6,19.0,8,0.5758635099113538,0,0,1.0,1,0,1254113
134.94481522053556,4,23.0,11,4.152102469496516,1,0,4.0,1,1,1149231
76.07390048162863,5,24.0,10,1.309885618799752,0,0,10.0,2,0,728898
114.00778958026457,5,35.0,14,1.900418573615042,1,0,6.0,2,0,1023396
126.96806145201063,5,20.0,9,1.5010440224735615,0,1,10.0,1,0,1159654
202.85611131094578,3,,12,2.737313181315964,0,0,2.0,2,1,1613421
167.18091447842306,4,23.0,11,1.1929441352938666,0,0,7.0,2,0,1451229
61.8479922318633,2,29.0,5,2.100373586356053,0,0,7.0,3,1,581322
166.20419846973977,6,21.0,9,0.1469842742809926,1,1,4.0,1,0,1515681
130.74588597918418,2,27.0,2,3.7469978127523573,0,0,4.0,2,1,1077360
116.15389998470206,3,6.0,3,3.006111418925305,1,0,1.0,3,1,1073574
,6,34.0,7,1.5616103571473459,0,0,2.0,3,1,1520289
